,Mkt-RF,SMB,HML,RF
19730822,-0.48,-0.28,0.05,0.03
19730823,1.28,-0.39,-0.62,0.03
19730824,-0.14,0.01,0.26,0.03
19730827,0.68,-0.35,-0.47,0.03
19730828,0.47,-0.28,-0.01,0.03
19730829,0.89,-0.18,0.1,0.03
19730830,0.01,0.26,0.19,0.03
19730831,0.5,0.16,-0.17,0.03
19730904,0.37,-0.02,0.43,0.036
19730905,0.19,0.04,0.01,0.036
19730906,0.48,-0.14,0.43,0.036
19730907,-0.18,0.46,0.18,0.036
19730910,-0.88,0.52,0.45,0.036
19730911,-0.58,0.03,0.15,0.036
19730912,-0.24,0,0.01,0.036
19730913,0.29,-0.01,-0.65,0.036
19730914,0.89,-0.02,-0.8,0.036
19730917,-0.04,0.53,0.17,0.036
19730918,-0.23,0.18,0.27,0.036
19730919,1.93,-0.2,-0.76,0.036
19730920,0.92,0.18,-0.02,0.036
19730921,0.51,0.18,0.57,0.036
19730924,0.29,0.38,0.8,0.036
19730925,0.5,-0.02,0.3,0.036
19730926,0.7,0.3,0.26,0.036
19730927,0.23,0.06,0.01,0.036
19730928,-0.48,0.43,0.15,0.036
19731001,-0.16,0.53,0.69,0.028
19731002,0.58,0.64,-0.08,0.028
19731003,0.08,0.67,0.68,0.028
19731004,-0.39,0.14,0.45,0.028
19731005,1.19,-0.06,-0.23,0.028
19731008,0.44,0.28,-0.09,0.028
19731009,-0.1,0,0.03,0.028
19731010,-1.16,-0.59,-0.3,0.028
19731011,1.65,0.09,-0.51,0.028
19731012,0.37,0.16,-0.17,0.028
19731015,-1.17,0.14,0.13,0.028
19731016,-0.01,-0.36,-0.31,0.028
19731017,-0.29,-0.08,0.13,0.028
19731018,-0.01,-0.25,-0.03,0.028
19731019,0.2,-0.02,0.31,0.028
19731022,-1.07,-0.37,0.44,0.028
19731023,0.35,-0.38,-0.15,0.028
19731024,0.29,-0.29,-0.11,0.028
19731025,0.15,-0.16,-0.06,0.028
19731026,0.72,-0.3,0.05,0.028
19731029,-0.26,-0.18,0.37,0.028
19731030,-1.52,-0.08,0.6,0.028
19731031,-0.88,0.06,0.11,0.028
19731101,-0.58,-0.07,-0.22,0.026
19731102,-0.56,-0.29,0.1,0.026
19731105,-1.59,-0.27,0.23,0.026
19731106,-0.72,-0.48,0.25,0.026
19731107,0.63,-0.86,0.56,0.026
19731108,1.08,-0.05,-0.35,0.026
19731109,-1.48,0.04,0.72,0.026
19731112,-0.97,-0.6,-0.19,0.026
19731113,-0.28,-0.87,-0.3,0.026
19731114,-1.87,-0.46,0.35,0.026
19731115,-0.13,-0.75,0.33,0.026
19731116,1.13,-0.63,0.14,0.026
19731119,-3.03,-0.2,1.25,0.026
19731120,-2.26,-1.36,0.07,0.026
19731121,1.06,-0.87,0.07,0.026
19731123,-0.14,0.14,0.7,0.026
19731126,-3.01,-1.23,0.68,0.026
19731127,-0.94,-0.44,0.16,0.026
19731128,1.98,0.16,-0.97,0.026
19731129,-0.35,0.06,0.14,0.026
19731130,-1.35,-0.01,0.83,0.026
19731203,-2.06,-0.34,0.22,0.032
19731204,-0.42,-0.48,-0.15,0.032
19731205,-1.74,-0.57,0.03,0.032
19731206,2.25,-1.11,-0.41,0.032
19731207,2.19,0.23,0.74,0.032
19731210,1.5,-0.34,-0.38,0.032
19731211,-1.81,0.03,0.84,0.032
19731212,-2.6,-0.11,0.66,0.032
19731213,-1.48,-0.36,0.89,0.032
19731214,0.97,-0.59,0.07,0.032
19731217,-0.66,-0.1,0.57,0.032
19731218,1.88,-1.01,-0.36,0.032
19731219,-0.02,-0.24,0.21,0.032
19731220,-0.3,0.04,0.55,0.032
19731221,-0.96,0.15,0.86,0.032
19731224,-0.63,0.35,0.91,0.032
